Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,Comprehension_Question_Result,complexity
20831,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1403733630,68,765.2405882,268.98,751,262,27,16,int,3,class->block->decl_stmt->decl->type->name,95,2,2,1,A
20832,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1403905595,96,659.5995833,219.5104167,660,225,47,15,class,5,class,95,1,2,1,A
20833,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1404001689,92,622.3904348,215.7756522,592,225,58,15,public,6,class->specifier,95,1,1,1,A
20834,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1404073758,68,614.3276471,212.5217647,592,225,58,15,public,6,class->specifier,95,1,1,1,A
20835,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1404601759,72,742.25,223.1305556,717,225,87,15,Rectangle,9,class->name,95,1,3,1,A
20836,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1404921430,68,765.6488235,221.7358824,717,225,87,15,Rectangle,9,class->name,95,1,3,1,A
20837,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1405201643,180,697.0324444,287.1364444,672,297,58,16,public,6,class->block->constructor->specifier,95,3,1,1,A
20838,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1405329657,92,762.0156522000001,293.5526087,740,297,86,16,Rectangle,9,class->block->constructor->name,95,3,2,1,A
20839,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1405701709,116,817.2896552,276.48,818,262,5,16,",",1,class->block->decl_stmt,95,2,4,1,A
20840,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1405809669,68,861.4452941,273.5741176,866,262,5,16,",",1,class->block->decl_stmt,95,2,6,1,A
20841,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1405893637,80,855.8165,276.6455,866,262,5,16,",",1,class->block->decl_stmt,95,2,6,1,A
20842,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1406077565,84,940.6547619,277.427619,932,262,18,16,y2,2,class->block->decl_stmt->decl->name,95,2,9,1,A
20843,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1406173510,92,939.2478261,289.8830435,943,297,27,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,95,3,7,1,A
20844,5,60,rectangle_java2.jpg,rectangle_java2.jpg,1406593559,124,771.946129,320.713871,734,333,66,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,95,4,1,1,A
