Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part
2892,5,202,rectangle_java.jpg,rectangle_java.jpg,1915059094,108,746.1144444,264.6574074,695,257,101,19,Rectangle,9,class->block->constructor->name,70,3,2
2893,5,202,rectangle_java.jpg,rectangle_java.jpg,1915266844,132,655.8948485000001,227.7663636,616,215,80,19,private,7,class->block->decl_stmt->decl->type->specifier,70,2,1
2894,5,202,rectangle_java.jpg,rectangle_java.jpg,1915823018,188,757.6168085,223.7691489,751,215,23,19,x1,2,class->block->decl_stmt->decl->name,70,2,3
2895,5,202,rectangle_java.jpg,rectangle_java.jpg,1915974877,148,747.1989189,222.39,751,215,23,19,x1,2,class->block->decl_stmt->decl->name,70,2,3
2896,5,202,rectangle_java.jpg,rectangle_java.jpg,1916287006,156,898.8382051000001,263.8379487,910,257,6,19,",",1,class->block->constructor->parameter_list,70,3,6
2897,5,202,rectangle_java.jpg,rectangle_java.jpg,1916474983,176,780.8345455,270.2211364,695,257,101,19,Rectangle,9,class->block->constructor->name,70,3,2
2898,5,202,rectangle_java.jpg,rectangle_java.jpg,1916930712,148,683.4348649,210.8043243,616,215,80,19,private,7,class->block->decl_stmt->decl->type->specifier,70,2,1
2899,5,202,rectangle_java.jpg,rectangle_java.jpg,1917226877,64,906.721875,251.896875,910,257,6,19,",",1,class->block->constructor->parameter_list,70,3,6
2900,5,202,rectangle_java.jpg,rectangle_java.jpg,1917338922,108,907.5451852,267.1948148,910,257,6,19,",",1,class->block->constructor->parameter_list,70,3,6
2901,5,202,rectangle_java.jpg,rectangle_java.jpg,1917510938,132,872.8430302999999,258.7709091,874,257,23,19,x1,2,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,5
2902,5,202,rectangle_java.jpg,rectangle_java.jpg,1917726880,172,754.5625581,223.4523256,751,215,23,19,x1,2,class->block->decl_stmt->decl->name,70,2,3
2903,5,202,rectangle_java.jpg,rectangle_java.jpg,1918122849,324,818.6669136,232.4714815,807,215,23,19,y1,2,class->block->decl_stmt->decl->name,70,2,5
2904,5,202,rectangle_java.jpg,rectangle_java.jpg,1918634804,152,826.8797367999999,246.7615789,830,257,34,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,4
2905,5,202,rectangle_java.jpg,rectangle_java.jpg,1918978702,124,757.6816129,542.8396774,740,553,68,19,height,6,class->block->function->name,70,10,3
2906,5,202,rectangle_java.jpg,rectangle_java.jpg,1919362690,92,764.7665217,348.9026087,766,342,13,19,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,70,5,2
2907,5,202,rectangle_java.jpg,rectangle_java.jpg,1919442695,76,763.3921052999999,338.7257895,766,342,13,19,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,70,5,2
2908,5,202,rectangle_java.jpg,rectangle_java.jpg,1919510702,64,764.888125,334.93875,766,342,13,19,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,70,5,2
2909,5,202,rectangle_java.jpg,rectangle_java.jpg,1919674717,116,711.5531034,257.64620690000004,695,257,101,19,Rectangle,9,class->block->constructor->name,70,3,2
2910,5,202,rectangle_java.jpg,rectangle_java.jpg,1919962498,284,712.4316901000001,265.6225352,695,257,101,19,Rectangle,9,class->block->constructor->name,70,3,2
2911,5,202,rectangle_java.jpg,rectangle_java.jpg,1920110606,100,631.9772,254.6584,616,257,69,19,public,6,class->block->constructor->specifier,70,3,1
2912,5,202,rectangle_java.jpg,rectangle_java.jpg,1920182606,68,628.6288235000001,248.2494118,616,257,69,19,public,6,class->block->constructor->specifier,70,3,1
2913,5,202,rectangle_java.jpg,rectangle_java.jpg,1921286546,160,829.12375,220.12725,807,215,23,19,y1,2,class->block->decl_stmt->decl->name,70,2,5
2914,5,202,rectangle_java.jpg,rectangle_java.jpg,1921686387,244,866.19,251.335082,874,257,23,19,x1,2,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,5
2915,5,202,rectangle_java.jpg,rectangle_java.jpg,1921910411,148,914.3127027,258.9578378,910,257,6,19,",",1,class->block->constructor->parameter_list,70,3,6
2916,5,202,rectangle_java.jpg,rectangle_java.jpg,1922090394,96,829.9258332999999,226.6741667,807,215,23,19,y1,2,class->block->decl_stmt->decl->name,70,2,5
2917,5,202,rectangle_java.jpg,rectangle_java.jpg,1922090394,96,829.9258332999999,226.6741667,842,215,7,19,",",1,class->block->decl_stmt,70,2,6
2918,5,202,rectangle_java.jpg,rectangle_java.jpg,1922502475,96,832.7358333,219.31125,842,215,7,19,",",1,class->block->decl_stmt,70,2,6
2919,5,202,rectangle_java.jpg,rectangle_java.jpg,1922930432,108,827.2355556,213.6766667,807,215,23,19,y1,2,class->block->decl_stmt->decl->name,70,2,5
2920,5,202,rectangle_java.jpg,rectangle_java.jpg,1923102364,136,920.315,251.1691176,931,257,33,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,7
2921,5,202,rectangle_java.jpg,rectangle_java.jpg,1923302350,196,926.5332653,255.0281633,931,257,33,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,7
2922,5,202,rectangle_java.jpg,rectangle_java.jpg,1923406354,76,976.3910526,268.3489474,975,257,23,19,y1,2,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,8
2923,5,202,rectangle_java.jpg,rectangle_java.jpg,1923770319,68,794.5482352999999,225.9717647,807,215,23,19,y1,2,class->block->decl_stmt->decl->name,70,2,5
2924,5,202,rectangle_java.jpg,rectangle_java.jpg,1923914358,116,824.5993103,254.5651724,830,257,34,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,4
2925,5,202,rectangle_java.jpg,rectangle_java.jpg,1924050343,132,826.6696969999999,260.1354545,830,257,34,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,4
2926,5,202,rectangle_java.jpg,rectangle_java.jpg,1925474176,92,863.7278261,260.1413043,830,257,34,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,4
2927,5,202,rectangle_java.jpg,rectangle_java.jpg,1925474176,92,863.7278261,260.1413043,874,257,23,19,x1,2,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,5
2928,5,202,rectangle_java.jpg,rectangle_java.jpg,1925690164,176,755.6206817999999,308.1429545,766,299,13,16,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,70,4,2
2929,5,202,rectangle_java.jpg,rectangle_java.jpg,1926046173,352,743.9840909,301.4030682,677,299,78,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,70,4,1
2930,5,202,rectangle_java.jpg,rectangle_java.jpg,1926222076,172,756.2483721,308.9576744,766,299,13,16,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,70,4,2
2931,5,202,rectangle_java.jpg,rectangle_java.jpg,1926753972,168,706.4428571000001,302.577619,677,299,78,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,70,4,1
2932,5,202,rectangle_java.jpg,rectangle_java.jpg,1926930010,88,723.2309091,297.4059091,677,299,78,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,70,4,1
2933,5,202,rectangle_java.jpg,rectangle_java.jpg,1927118043,184,717.9078261,288.5843478,677,299,78,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,70,4,1
2934,5,202,rectangle_java.jpg,rectangle_java.jpg,1927314067,72,1037.648889,260.8183333,1032,257,33,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,10
2935,5,202,rectangle_java.jpg,rectangle_java.jpg,1927510048,192,1026.914792,257.041875,1032,257,33,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,10
2936,5,202,rectangle_java.jpg,rectangle_java.jpg,1928050007,56,1002.538571,501.9121429,953,511,78,19,this.x2,7,class->block->function->block->block_content->return->expr->name->name->operator->name->operator,70,9,8
2937,5,202,rectangle_java.jpg,rectangle_java.jpg,1928217961,100,1056.2952,274.7008,1032,257,33,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,10
