Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity,stage
42942,5,12,rectangle_java2.jpg,rectangle_java2.jpg,1791889847,104,697.8426923,311.65538460000005,672,297,58,16,public,6,class->block->constructor->specifier,85,3,1,A,stage2
42943,5,12,rectangle_java2.jpg,rectangle_java2.jpg,1792049842,96,841.6225,320.8679167,829,333,19,16,x1,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,85,4,3,A,stage2
42944,5,12,rectangle_java2.jpg,rectangle_java2.jpg,1792153785,100,856.3556,326.738,859,333,5,16,;,1,class->block->constructor->block->block_content->expr_stmt,85,4,4,A,stage2
42945,5,12,rectangle_java2.jpg,rectangle_java2.jpg,1792221757,64,849.004375,330.12375,859,333,5,16,;,1,class->block->constructor->block->block_content->expr_stmt,85,4,4,A,stage2
42946,5,12,rectangle_java2.jpg,rectangle_java2.jpg,1792281760,56,854.7828571,333.7092857,859,333,5,16,;,1,class->block->constructor->block->block_content->expr_stmt,85,4,4,A,stage2
42947,5,12,rectangle_java2.jpg,rectangle_java2.jpg,1792445832,92,979.3173912999998,306.57217389999994,980,297,18,16,y1,2,class->block->constructor->parameter_list->parameter->decl->type->name,85,3,8,A,stage2
42948,5,12,rectangle_java2.jpg,rectangle_java2.jpg,1792633825,60,1072.754667,309.1113333,1066,297,18,16,x2,2,class->block->constructor->parameter_list->parameter->decl->type->name,85,3,11,A,stage2
42949,5,12,rectangle_java2.jpg,rectangle_java2.jpg,1792717794,80,1080.2115,304.717,1066,297,18,16,x2,2,class->block->constructor->parameter_list->parameter->decl->type->name,85,3,11,A,stage2
42950,5,12,rectangle_java2.jpg,rectangle_java2.jpg,1792997781,80,764.0169999999999,361.594,734,370,65,15,this.y1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,85,5,1,A,stage2
42951,5,12,rectangle_java2.jpg,rectangle_java2.jpg,1793549761,168,758.6485713999999,401.7797619,734,407,65,14,this.x2,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,85,6,1,A,stage2
42952,5,12,rectangle_java2.jpg,rectangle_java2.jpg,1793849981,68,825.1541176,440.6629412,829,441,18,22,y2,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,85,7,3,A,stage2
