Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity
42516,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1656283262,120,732.4626667,169.111,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,95,2,1,A
42517,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1656519241,116,699.9848276,153.35137930000002,651,143,59,16,public,6,class->specifier,95,1,1,A
42518,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1656639213,108,779.4396296,151.77,776,143,68,16,Vehicle,7,class->name,95,1,3,A
42519,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1657003199,100,777.4236,168.2124,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,95,2,2,A
42520,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1657215171,184,744.28,195.0880435,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,95,2,1,A
42521,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1657834991,152,888.9828947000001,215.4789474,856,216,116,16,currentSpeed,12,class->block->decl_stmt->decl->name,95,3,4,A
42522,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1657903040,64,889.8375,210.43375,856,216,116,16,currentSpeed,12,class->block->decl_stmt->decl->name,95,3,4,A
42523,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1658175102,76,734.8189474,182.7794737,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,95,2,1,A
42524,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1658251098,60,789.06,195.6333333,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,95,2,2,A
42525,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1658655070,136,852.5420588,206.6776471,856,216,116,16,currentSpeed,12,class->block->decl_stmt->decl->name,95,3,4,A
42526,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1658907069,116,901.4272413999998,189.957931,885,180,38,16,type,4,class->block->decl_stmt->decl->name,95,2,4,A
42527,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1659171085,220,750.3585455,226.8496364,750,216,78,16,topSpeed,8,class->block->decl_stmt->decl->name,95,3,2,A
42528,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1659494945,116,723.7448276,174.27,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,95,2,1,A
42529,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1659682983,104,699.5557692000001,148.8542308,651,143,59,16,public,6,class->specifier,95,1,1,A
42530,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1659754966,68,706.2441176,157.2711765,651,143,59,16,public,6,class->specifier,95,1,1,A
42531,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1659822953,64,746.68,154.01375,719,143,48,16,class,5,class,95,1,2,A
42532,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1660014957,88,683.1872727000001,151.9531818,651,143,59,16,public,6,class->specifier,95,1,1,A
42533,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1660182954,56,684.0185713999999,147.6821429,651,143,59,16,public,6,class->specifier,95,1,1,A
42534,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1660398965,148,791.787027,175.9678378,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,95,2,2,A
42535,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1660462968,60,806.04,156.26133330000002,776,143,68,16,Vehicle,7,class->name,95,1,3,A
42536,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1660658977,192,802.8814583,153.714375,776,143,68,16,Vehicle,7,class->name,95,1,3,A
42537,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1660898935,156,755.99,190.8494872,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,95,2,1,A
42538,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1661178750,236,818.4001695000001,190.0510169,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,95,2,2,A
42539,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1661474847,88,897.0118182,190.0972727,885,180,38,16,type,4,class->block->decl_stmt->decl->name,95,2,4,A
42540,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1661650877,136,744.5935294,228.13941180000003,750,216,78,16,topSpeed,8,class->block->decl_stmt->decl->name,95,3,2,A
42541,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1661902819,72,794.09,230.8588889,750,216,78,16,topSpeed,8,class->block->decl_stmt->decl->name,95,3,2,A
42542,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1662154828,84,892.3614286000001,227.6514286,856,216,116,16,currentSpeed,12,class->block->decl_stmt->decl->name,95,3,4,A
42543,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1662810824,88,804.3231818,282.2640909,778,268,69,20,Vehicle,7,class->block->constructor->name,95,4,2,A
42544,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1662882803,68,809.8976471,294.7988235,772,306,125,16,this.producer,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,95,5,1,A
42545,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1662978745,92,821.126087,297.6756522,772,306,125,16,this.producer,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,95,5,1,A
42546,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1663230594,144,894.3611110999999,308.03,772,306,125,16,this.producer,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,95,5,1,A
42547,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1663230594,144,894.3611110999999,308.03,906,306,11,16,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,95,5,2,A
42548,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1663466749,64,973.73375,282.386875,981,268,58,20,String,6,class->block->constructor->parameter_list->parameter->decl->type->name,95,4,7,A
42549,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1663562710,92,976.8382609,279.16826089999995,981,268,58,20,String,6,class->block->constructor->parameter_list->parameter->decl->type->name,95,4,7,A
42550,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1663954727,104,1013.585769,286.9430769,981,268,58,20,String,6,class->block->constructor->parameter_list->parameter->decl->type->name,95,4,7,A
42551,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1664146665,160,826.15275,333.6355,772,343,88,16,this.type,9,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,95,6,1,A
42552,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1664382631,132,803.640303,337.5572727,772,343,88,16,this.type,9,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,95,6,1,A
42553,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1664594689,184,869.8743478,335.2102174,867,343,11,16,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,95,6,2,A
42554,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1664682718,84,912.0147619,336.9252381,907,343,7,16,;,1,class->block->constructor->block->block_content->expr_stmt,95,6,4,A
42555,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1665074606,56,818.9957142999999,374.6457143,772,379,126,16,this.topSpeed,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,95,7,1,A
42556,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1665742559,136,883.2661765,404.1620588,772,415,164,16,this.currentSpeed,17,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,95,8,1,A
42557,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1665910557,136,933.0188235,391.7223529,925,379,20,16,tp,2,class->block->constructor->block->block_content->expr_stmt->expr->name,95,7,3,A
42558,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1666098577,128,931.7390625,405.3209375,772,415,164,16,this.currentSpeed,17,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,95,8,1,A
42559,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1666098577,128,931.7390625,405.3209375,944,415,11,16,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,95,8,2,A
42560,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1666182589,56,905.1092857,358.27,907,343,7,16,;,1,class->block->constructor->block->block_content->expr_stmt,95,6,4,A
42561,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1666274591,88,910.7031818,356.9518182,907,343,7,16,;,1,class->block->constructor->block->block_content->expr_stmt,95,6,4,A
42562,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1666662608,128,800.6975,265.1728125,778,268,69,20,Vehicle,7,class->block->constructor->name,95,4,2,A
42563,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1666722591,56,809.0892857000001,271.4164286,778,268,69,20,Vehicle,7,class->block->constructor->name,95,4,2,A
42564,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1666842506,76,743.0042105,189.0121053,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,95,2,1,A
42565,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1666938342,92,744.6182609,178.8808696,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,95,2,1,A
42566,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1667194448,140,779.0548571,499.8625714,779,506,29,16,int,3,class->block->function->type->name,95,10,2,A
42567,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1667378423,148,744.2664865,516.5389188999999,711,506,59,16,public,6,class->block->function->type->specifier,95,10,1,A
42568,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1667642436,132,834.5954545,531.0436364,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,95,11,4,A
42569,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1667706436,60,835.1026667,520.2633333000001,817,506,97,16,accelerate,10,class->block->function->name,95,10,3,A
42570,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1667930436,60,907.0193333,534.24,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,95,11,4,A
42571,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1668322419,76,843.2389473999999,513.2847368,817,506,97,16,accelerate,10,class->block->function->name,95,10,3,A
42572,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1669010250,64,902.851875,496.10625,817,506,97,16,accelerate,10,class->block->function->name,95,10,3,A
42573,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1669106262,92,905.3443478,502.0682609,817,506,97,16,accelerate,10,class->block->function->name,95,10,3,A
42574,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1669238267,92,951.3495652,518.0921739,942,506,29,16,int,3,class->block->function->parameter_list->parameter->decl->type->name,95,10,5,A
42575,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1669338256,96,953.0595833,532.6766666999999,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,95,11,4,A
42576,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1669554354,108,850.0877777999999,536.9151852000001,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,95,11,4,A
42577,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1669666416,56,943.835,512.7714286,942,506,29,16,int,3,class->block->function->parameter_list->parameter->decl->type->name,95,10,5,A
42578,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1669758365,88,951.985,518.0918182,942,506,29,16,int,3,class->block->function->parameter_list->parameter->decl->type->name,95,10,5,A
42579,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1669894330,132,953.7478788,517.2775758,942,506,29,16,int,3,class->block->function->parameter_list->parameter->decl->type->name,95,10,5,A
42580,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1670130344,220,837.8107272999999,530.9783636,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,95,11,4,A
42581,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1670374330,208,798.755,546.9405768999999,804,540,5,20,(,1,class->block->function->block->block_content->if_stmt->if->condition,95,11,2,A
42582,2,12,vehicle_java2.jpg,vehicle_java2.jpg,1670618150,228,885.9777193,549.5545614,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,95,11,4,A
