Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,Comprehension_Question_Result,complexity
51755,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1270802110,172,929.9106977,511.8267442,894,515,58,15,return,6,class->block->function->block->block_content->return->expr->name->name,75,9,7,0,A
51756,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1270950206,144,928.9069444,522.7338888999999,894,515,58,15,return,6,class->block->function->block->block_content->return->expr->name->name,75,9,7,0,A
51757,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1271150198,88,778.6163636,366.64,734,370,65,15,this.y1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,75,5,1,0,A
51758,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1271302173,72,645.5411111000001,230.0866667,592,225,58,15,public,6,class->specifier,75,1,1,0,A
51759,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1271378156,72,642.255,226.1588889,592,225,58,15,public,6,class->specifier,75,1,1,0,A
51760,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1271454149,72,643.6877778,232.0238889,592,225,58,15,public,6,class->specifier,75,1,1,0,A
51761,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1272621863,60,699.6560000000001,263.9766667,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,75,2,1,0,A
51762,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1272737958,112,697.4028571,258.3160714,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,75,2,1,0,A
51763,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1272826013,84,701.1995238,263.6347619,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,75,2,1,0,A
51764,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1272898043,68,709.4635294,266.1258824,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,75,2,1,0,A
51765,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1273110072,92,791.7217391,267.1630435,788,262,18,16,x1,2,class->block->decl_stmt->decl->name,75,2,3,0,A
51766,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1273242055,56,739.5807143,249.7778571,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,75,2,1,0,A
51767,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1273242055,56,739.5807143,249.7778571,751,262,27,16,int,3,class->block->decl_stmt->decl->type->name,75,2,2,0,A
51768,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1273430004,68,745.01,253.8417647,751,262,27,16,int,3,class->block->decl_stmt->decl->type->name,75,2,2,0,A
51769,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1273634013,200,741.2022,257.7704,751,262,27,16,int,3,class->block->decl_stmt->decl->type->name,75,2,2,0,A
51770,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1274466014,132,756.5257576,252.1718182,751,262,27,16,int,3,class->block->decl_stmt->decl->type->name,75,2,2,0,A
51771,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1274765912,72,759.8977778,258.8672222,751,262,27,16,int,3,class->block->decl_stmt->decl->type->name,75,2,2,0,A
51772,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1274833910,64,748.339375,252.593125,751,262,27,16,int,3,class->block->decl_stmt->decl->type->name,75,2,2,0,A
51773,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1275005867,68,739.2711764999999,254.8576471,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,75,2,1,0,A
51774,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1275005867,68,739.2711764999999,254.8576471,751,262,27,16,int,3,class->block->decl_stmt->decl->type->name,75,2,2,0,A
51775,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1275073865,64,746.64375,269.950625,751,262,27,16,int,3,class->block->decl_stmt->decl->type->name,75,2,2,0,A
51776,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1275161871,56,712.8071428999999,276.7692857,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,75,2,1,0,A
51777,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1275549894,56,768.5328571,268.3514286,751,262,27,16,int,3,class->block->decl_stmt->decl->type->name,75,2,2,0,A
51778,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1275725979,60,860.7646667000001,287.2733333,856,297,28,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,75,3,4,0,A
51779,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1276249900,80,745.8885,306.0785,740,297,86,16,Rectangle,9,class->block->constructor->name,75,3,2,0,A
51780,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1276749731,76,715.1521052999999,286.8368421,672,297,58,16,public,6,class->block->constructor->specifier,75,3,1,0,A
51781,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1276961706,64,805.42375,307.438125,740,297,86,16,Rectangle,9,class->block->constructor->name,75,3,2,0,A
51782,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1277393811,204,878.7745097999999,296.4747059,856,297,28,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,75,3,4,0,A
51783,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1277501840,104,875.4107692,306.4457692,856,297,28,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,75,3,4,0,A
51784,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1277933775,124,951.0080645,311.25741939999995,943,297,27,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,75,3,7,0,A
51785,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1278077773,92,950.0934783,311.7526087,943,297,27,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,75,3,7,0,A
51786,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1278305711,60,785.836,307.244,740,297,86,16,Rectangle,9,class->block->constructor->name,75,3,2,0,A
51787,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1278449658,96,781.9529167000001,298.0291667,740,297,86,16,Rectangle,9,class->block->constructor->name,75,3,2,0,A
51788,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1278557664,92,714.9991303999999,309.4713043,672,297,58,16,public,6,class->block->constructor->specifier,75,3,1,0,A
51789,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1278821675,64,796.233125,311.0725,740,297,86,16,Rectangle,9,class->block->constructor->name,75,3,2,0,A
51790,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1278925693,84,1019.456667,303.9528571000001,1029,297,27,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,75,3,10,0,A
51791,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1279121671,60,1019.598667,303.9106667,1029,297,27,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,75,3,10,0,A
51792,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1279621570,112,676.5889286,226.9571429,660,225,47,15,class,5,class,75,1,2,0,A
51793,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1279977514,192,1018.249583,301.445625,1029,297,27,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,75,3,10,0,A
51794,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1280225576,244,990.3527869,305.4168852,980,297,18,16,y1,2,class->block->constructor->parameter_list->parameter->decl->type->name,75,3,8,0,A
51795,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1281025485,84,1137.1576189999998,312.957619,1115,297,28,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,75,3,13,0,A
51796,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1281141452,72,806.1716667000001,331.7461111,809,333,10,16,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,75,4,2,0,A
51797,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1281217444,72,813.3655556,343.5066667,809,333,10,16,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,75,4,2,0,A
51798,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1281605480,88,802.82,362.1286364,809,370,10,15,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,75,5,2,0,A
51799,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1281801533,112,788.8117857000001,348.16214289999994,734,333,66,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,75,4,1,0,A
51800,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1282113527,56,700.9942857000001,519.7085714,672,515,58,15,public,6,class->block->function->type->specifier,75,9,1,0,A
51801,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1283165364,72,811.98,524.6561111000001,778,515,49,15,width,5,class->block->function->name,75,9,3,0,A
51802,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1283705399,152,711.2244737000001,515.8276316,672,515,58,15,public,6,class->block->function->type->specifier,75,9,1,0,A
51803,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1283821402,112,696.1832142999999,518.8353571,672,515,58,15,public,6,class->block->function->type->specifier,75,9,1,0,A
51804,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1284169249,84,767.0633333,553.3290476,741,552,27,16,int,3,class->block->function->type->name,75,10,2,0,A
51805,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1284169249,84,767.0633333,553.3290476,778,552,58,16,height,6,class->block->function->name,75,10,3,0,A
51806,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1284505195,72,747.1944444000001,527.8788889,740,515,28,15,int,3,class->block->function->type->name,75,9,2,0,A
51807,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1285145240,80,819.5225,545.5930000000001,778,552,58,16,height,6,class->block->function->name,75,10,3,0,A
51808,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1285369270,104,928.8038462,539.7611538,904,552,57,16,return,6,class->block->function->block->block_content->return,75,10,7,0,A
51809,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1285437283,64,931.2125,555.541875,904,552,57,16,return,6,class->block->function->block->block_content->return,75,10,7,0,A
51810,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1285557270,84,894.9057142999999,547.3938095,904,552,57,16,return,6,class->block->function->block->block_content->return,75,10,7,0,A
51811,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1285829251,88,905.2595455,546.6809091,904,552,57,16,return,6,class->block->function->block->block_content->return,75,10,7,0,A
51812,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1285961291,108,936.5466667000002,542.1551852000001,904,552,57,16,return,6,class->block->function->block->block_content->return,75,10,7,0,A
51813,2,168,rectangle_java2.jpg,rectangle_java2.jpg,1286289223,160,970.6575,515.35275,962,515,65,15,this.x2,7,class->block->function->block->block_content->return->expr->name->name->operator->name->operator,75,9,8,0,A
