Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity,stage
15814,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2841001684,180,1124.588889,665.1253333,1024,651,164,16,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name->name->operator->name,95,14,3,B,stage2
15815,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2841141634,56,1181.058571,646.2221429,1024,651,164,16,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name->name->operator->name,95,14,3,B,stage2
15816,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2841201527,56,1178.696429,648.2264286000001,1024,651,164,16,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name->name->operator->name,95,14,3,B,stage2
15817,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2841365352,76,1055.649474,651.5884211,1024,651,164,16,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name->name->operator->name,95,14,3,B,stage2
15818,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2841441397,72,1044.9694439999998,665.3238888999999,1024,651,164,16,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name->name->operator->name,95,14,3,B,stage2
15819,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2841645473,92,1182.273043,653.4843477999999,1024,651,164,16,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name->name->operator->name,95,14,3,B,stage2
15820,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2841813515,76,1235.837368,640.91,1216,651,30,16,kmh,3,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name,95,14,5,B,stage2
15821,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2841961549,80,825.066,623.488,791,616,39,14,else,4,class->block->function->block->block_content->if_stmt->else,95,13,2,B,stage2
15822,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2842165593,56,817.795,623.8435714,791,616,39,14,else,4,class->block->function->block->block_content->if_stmt->else,95,13,2,B,stage2
15823,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2842325514,56,892.7385714,545.3657142999999,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,95,11,4,B,stage2
15824,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2842549521,84,1200.087619,639.8323809999999,1197,651,10,16,+,1,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->operator,95,14,4,B,stage2
15825,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2842889560,80,1234.116,658.4225,1216,651,30,16,kmh,3,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name,95,14,5,B,stage2
15826,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2843057517,56,1024.630714,648.0192857000001,1024,651,164,16,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name->name->operator->name,95,14,3,B,stage2
15827,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2843161471,100,1047.9312,640.312,1024,651,164,16,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name->name->operator->name,95,14,3,B,stage2
15828,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2843221449,56,1051.953571,641.3378571000001,1024,651,164,16,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name->name->operator->name,95,14,3,B,stage2
15829,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2843641411,56,1238.7535710000002,644.1557142999999,1216,651,30,16,kmh,3,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name,95,14,5,B,stage2
15830,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2843813415,72,1202.405,547.2861111000001,1108,540,126,20,this.topSpeed,13,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,95,11,9,B,stage2
15831,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2843881414,64,1200.1625,541.655625,1108,540,126,20,this.topSpeed,13,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,95,11,9,B,stage2
15832,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2843941415,56,1184.354286,547.4907142999999,1108,540,126,20,this.topSpeed,13,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,95,11,9,B,stage2
15833,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2844065411,68,1131.192353,535.1635294,1108,540,126,20,this.topSpeed,13,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,95,11,9,B,stage2
15834,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2844189402,120,1137.624,532.216,1108,540,126,20,this.topSpeed,13,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,95,11,9,B,stage2
15835,2,44,vehicle_java2.jpg,vehicle_java2.jpg,2844453358,232,1077.038621,530.5205172,1089,540,10,20,>,1,class->block->function->block->block_content->if_stmt->if->condition->expr->operator,95,11,8,B,stage2
