Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity,stage
57338,2,180,vehicle_java2.jpg,vehicle_java2.jpg,5031606284,132,1016.315152,528.4487879,1012,540,10,20,+,1,class->block->function->block->block_content->if_stmt->if->condition->expr->operator,80,11,5,B,stage2
57339,2,180,vehicle_java2.jpg,vehicle_java2.jpg,5031750280,140,1025.689429,518.6937143,1020,506,6,16,),1,class->block->function->parameter_list,80,10,7,B,stage2
57340,2,180,vehicle_java2.jpg,vehicle_java2.jpg,5033334208,120,844.916,497.2436667,817,506,97,16,accelerate,10,class->block->function->name,80,10,3,B,stage2
57341,2,180,vehicle_java2.jpg,vehicle_java2.jpg,5033498179,84,777.2466667,519.7680952,779,506,29,16,int,3,class->block->function->type->name,80,10,2,B,stage2
57342,2,180,vehicle_java2.jpg,vehicle_java2.jpg,5033570179,68,791.7294118,534.6288235000001,772,540,20,20,if,2,class->block->function->block->block_content->if_stmt->if,80,11,1,B,stage2
57343,2,180,vehicle_java2.jpg,vehicle_java2.jpg,5033570179,68,791.7294118,534.6288235000001,804,540,5,20,(,1,class->block->function->block->block_content->if_stmt->if->condition,80,11,2,B,stage2
57344,2,180,vehicle_java2.jpg,vehicle_java2.jpg,5033762175,136,884.9552941,533.0338235,839,540,164,20,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,80,11,4,B,stage2
57345,2,180,vehicle_java2.jpg,vehicle_java2.jpg,5034034170,140,1130.982857,536.4285714,1108,540,126,20,this.topSpeed,13,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,80,11,9,B,stage2
57346,2,180,vehicle_java2.jpg,vehicle_java2.jpg,5034218193,144,1170.663333,527.5602778,1108,540,126,20,this.topSpeed,13,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,80,11,9,B,stage2
57347,2,180,vehicle_java2.jpg,vehicle_java2.jpg,5034994105,184,854.1265217,515.3686957,817,506,97,16,accelerate,10,class->block->function->name,80,10,3,B,stage2
57348,2,180,vehicle_java2.jpg,vehicle_java2.jpg,5035786011,60,1116.9160000000002,530.188,1108,540,126,20,this.topSpeed,13,class->block->function->block->block_content->if_stmt->if->condition->expr->name->name->operator->name,80,11,9,B,stage2
57349,2,180,vehicle_java2.jpg,vehicle_java2.jpg,5036150049,64,911.723125,514.676875,817,506,97,16,accelerate,10,class->block->function->name,80,10,3,B,stage2
57350,2,180,vehicle_java2.jpg,vehicle_java2.jpg,5036230098,76,907.8784211,521.5973683999999,817,506,97,16,accelerate,10,class->block->function->name,80,10,3,B,stage2
