Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity,stage
30109,5,83,rectangle_java2.jpg,rectangle_java2.jpg,447430293,84,785.56,623.7890476,740,624,57,16,static,6,class->block->function->type->specifier,85,12,2,A,stage2
30110,5,83,rectangle_java2.jpg,rectangle_java2.jpg,447698769,232,832.0024137999999,621.0632759,808,624,39,16,void,4,class->block->function->type->name,85,12,3,A,stage2
30111,5,83,rectangle_java2.jpg,rectangle_java2.jpg,447834493,96,771.8454167,627.1845833,740,624,57,16,static,6,class->block->function->type->specifier,85,12,2,A,stage2
30112,5,83,rectangle_java2.jpg,rectangle_java2.jpg,447914254,76,779.4626316,647.2384211,732,658,87,17,Rectangle,9,class->block->function->block->block_content->decl_stmt->decl->type->name,85,13,1,A,stage2
30113,5,83,rectangle_java2.jpg,rectangle_java2.jpg,448394161,108,813.3685184999999,601.2725926,807,588,39,20,area,4,class->block->function->name,85,11,3,A,stage2
30114,5,83,rectangle_java2.jpg,rectangle_java2.jpg,448494178,60,866.69,636.81,854,624,40,16,main,4,class->block->function->name,85,12,4,A,stage2
30115,5,83,rectangle_java2.jpg,rectangle_java2.jpg,448890155,104,955.8761538,602.2896154,913,588,58,20,return,6,class->block->function->block->block_content->return,85,11,7,A,stage2
30116,5,83,rectangle_java2.jpg,rectangle_java2.jpg,448962148,68,1023.852353,605.3164706,982,588,94,20,this.width,10,class->block->function->block->block_content->return->expr->call->name->name->operator->name,85,11,8,A,stage2
30117,5,83,rectangle_java2.jpg,rectangle_java2.jpg,449358055,96,1057.391667,665.5779167000001,1060,658,8,17,0,1,class->block->function->block->block_content->decl_stmt->decl->init->expr->call->argument_list->argument->expr->literal,85,13,7,A,stage2
30118,5,83,rectangle_java2.jpg,rectangle_java2.jpg,449493980,64,1126.08625,648.42125,1137,658,17,17,10,2,class->block->function->block->block_content->decl_stmt->decl->init->expr->call->argument_list->argument->expr->literal,85,13,11,A,stage2
30119,5,83,rectangle_java2.jpg,rectangle_java2.jpg,449942089,96,831.38,663.0125,829,658,47,17,rect1,5,class->block->function->block->block_content->decl_stmt->decl->name,85,13,2,A,stage2
30120,5,83,rectangle_java2.jpg,rectangle_java2.jpg,450146057,112,777.1992857000001,668.8217857000001,732,658,87,17,Rectangle,9,class->block->function->block->block_content->decl_stmt->decl->type->name,85,13,1,A,stage2
30121,5,83,rectangle_java2.jpg,rectangle_java2.jpg,450214046,64,773.5275,661.36,732,658,87,17,Rectangle,9,class->block->function->block->block_content->decl_stmt->decl->type->name,85,13,1,A,stage2
30122,5,83,rectangle_java2.jpg,rectangle_java2.jpg,450362011,100,850.66,665.5232,829,658,47,17,rect1,5,class->block->function->block->block_content->decl_stmt->decl->name,85,13,2,A,stage2
30123,5,83,rectangle_java2.jpg,rectangle_java2.jpg,450526026,76,855.4415788999999,660.2026316,829,658,47,17,rect1,5,class->block->function->block->block_content->decl_stmt->decl->name,85,13,2,A,stage2
30124,5,83,rectangle_java2.jpg,rectangle_java2.jpg,450701960,132,940.8418182,663.4115152,944,658,86,17,Rectangle,9,class->block->function->block->block_content->decl_stmt->decl->init->expr->call->name,85,13,5,A,stage2
30125,5,83,rectangle_java2.jpg,rectangle_java2.jpg,451137711,80,1118.202,667.488,1118,658,5,17,",",1,class->block->function->block->block_content->decl_stmt->decl->init->expr->call->argument_list,85,13,10,A,stage2
30126,5,83,rectangle_java2.jpg,rectangle_java2.jpg,451225733,56,1121.352143,658.5628571000001,1118,658,5,17,",",1,class->block->function->block->block_content->decl_stmt->decl->init->expr->call->argument_list,85,13,10,A,stage2
30127,5,83,rectangle_java2.jpg,rectangle_java2.jpg,451445872,56,1166.422857,672.5707143,1166,658,5,17,",",1,class->block->function->block->block_content->decl_stmt->decl->init->expr->call->argument_list,85,13,12,A,stage2
30128,5,83,rectangle_java2.jpg,rectangle_java2.jpg,452009867,88,786.7340909,674.2754545,732,658,87,17,Rectangle,9,class->block->function->block->block_content->decl_stmt->decl->type->name,85,13,1,A,stage2
30129,5,83,rectangle_java2.jpg,rectangle_java2.jpg,452149822,68,864.0394117999999,662.0758824,829,658,47,17,rect1,5,class->block->function->block->block_content->decl_stmt->decl->name,85,13,2,A,stage2
