Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity,stage
19673,5,57,vehicle_java2.jpg,vehicle_java2.jpg,3143474222,80,855.7435,286.1885,859,268,6,20,(,1,class->block->constructor->parameter_list,60,4,3,B,stage3
19674,5,57,vehicle_java2.jpg,vehicle_java2.jpg,3143598217,88,864.5286364,309.6472727,772,306,125,16,this.producer,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,60,5,1,B,stage3
19675,5,57,vehicle_java2.jpg,vehicle_java2.jpg,3143710238,108,861.7577777999999,317.15925930000003,772,306,125,16,this.producer,13,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,60,5,1,B,stage3
19676,5,57,vehicle_java2.jpg,vehicle_java2.jpg,3143934184,84,835.682381,332.9842857,772,343,88,16,this.type,9,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,60,6,1,B,stage3
19677,5,57,vehicle_java2.jpg,vehicle_java2.jpg,3146670026,80,873.0955,664.9810000000001,832,651,164,16,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name->name->operator->name,60,14,1,B,stage3
19678,5,57,vehicle_java2.jpg,vehicle_java2.jpg,3146794248,76,875.6047367999998,658.2357895,832,651,164,16,this.currentSpeed,17,class->block->function->block->block_content->if_stmt->else->block->block_content->expr_stmt->expr->name->name->operator->name,60,14,1,B,stage3
19679,5,57,vehicle_java2.jpg,vehicle_java2.jpg,3149113871,56,897.9342857,837.8121428999999,887,850,30,15,new,3,class->block->function->block->block_content->decl_stmt->decl->init->expr->operator,60,19,4,B,stage3
19680,5,57,vehicle_java2.jpg,vehicle_java2.jpg,3149637735,64,811.770625,863.835,771,850,68,15,Vehicle,7,class->block->function->block->block_content->decl_stmt->decl->type->name,60,19,1,B,stage3
19681,5,57,vehicle_java2.jpg,vehicle_java2.jpg,3150177849,64,957.25125,820.72,962,812,58,18,String,6,class->block->function->parameter_list->parameter->decl->type->name,60,18,6,B,stage3
19682,5,57,vehicle_java2.jpg,vehicle_java2.jpg,3150749693,60,1189.988667,856.8986667000001,1175,850,29,15,200,3,class->block->function->block->block_content->decl_stmt->decl->init->expr->call->argument_list->argument->expr->literal,60,19,11,B,stage3
