Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity,stage
14014,5,3,rectangle_java2.jpg,rectangle_java2.jpg,2349083804,60,983.298,639.7986667,993,624,5,16,[,1,class->block->function->parameter_list->parameter->decl->type->name->index,95,12,7,A,stage3
14015,5,3,rectangle_java2.jpg,rectangle_java2.jpg,2349323913,60,939.346,605.4846667,913,588,58,20,return,6,class->block->function->block->block_content->return,95,11,7,A,stage3
14016,5,3,rectangle_java2.jpg,rectangle_java2.jpg,2349751966,72,997.2916667000002,592.0311111000001,982,588,94,20,this.width,10,class->block->function->block->block_content->return->expr->call->name->name->operator->name,95,11,8,A,stage3
14017,5,3,rectangle_java2.jpg,rectangle_java2.jpg,2350020099,96,946.3745833,621.3666667,923,624,57,16,String,6,class->block->function->parameter_list->parameter->decl->type->name->name,95,12,6,A,stage3
14018,5,3,rectangle_java2.jpg,rectangle_java2.jpg,2350244008,120,944.4796667000002,637.0269999999999,923,624,57,16,String,6,class->block->function->parameter_list->parameter->decl->type->name->name,95,12,6,A,stage3
14019,5,3,rectangle_java2.jpg,rectangle_java2.jpg,2350455910,152,1009.171316,623.0205262999999,1010,624,5,16,],1,class->block->function->parameter_list->parameter->decl->type->name->index,95,12,8,A,stage3
14020,5,3,rectangle_java2.jpg,rectangle_java2.jpg,2350815848,76,1057.495789,615.3389473999999,1028,624,37,16,args,4,class->block->function->parameter_list->parameter->decl->name,95,12,9,A,stage3
14021,5,3,rectangle_java2.jpg,rectangle_java2.jpg,2350943808,124,1051.892903,620.9532257999999,1028,624,37,16,args,4,class->block->function->parameter_list->parameter->decl->name,95,12,9,A,stage3
14022,5,3,rectangle_java2.jpg,rectangle_java2.jpg,2351071714,124,1048.827742,632.6406452000001,1028,624,37,16,args,4,class->block->function->parameter_list->parameter->decl->name,95,12,9,A,stage3
14023,5,3,rectangle_java2.jpg,rectangle_java2.jpg,2352203624,84,952.157619,591.9633332999999,913,588,58,20,return,6,class->block->function->block->block_content->return,95,11,7,A,stage3
14024,5,3,rectangle_java2.jpg,rectangle_java2.jpg,2352275640,68,938.0858824,600.0282352999999,913,588,58,20,return,6,class->block->function->block->block_content->return,95,11,7,A,stage3
14025,5,3,rectangle_java2.jpg,rectangle_java2.jpg,2352383862,68,825.0311765,627.5929412,808,624,39,16,void,4,class->block->function->type->name,95,12,3,A,stage3
14026,5,3,rectangle_java2.jpg,rectangle_java2.jpg,2352460085,72,814.3883333,607.285,807,588,39,20,area,4,class->block->function->name,95,11,3,A,stage3
