Participant,Trial,code_file,Programming_Language,Expertise,Complexity,Stage,Vertical_Next_Text,Vertical_Later_Text,Horizontal_Later_Text,Regression_Rate,Line_Regression_Rate,Saccade_Length,Element_Coverage
147,5,vehicle_java2.jpg,Java,medium,B,stage1,0.8181818181818182,0.8522727272727273,0.5227272727272727,0.2727272727272727,0.13636363636363635,60.9047857907318,0.1875
147,5,vehicle_java2.jpg,Java,medium,B,stage2,0.7415730337078652,0.8539325842696629,0.5393258426966292,0.25842696629213485,0.12359550561797752,104.08103259521685,0.17857142857142858
147,2,rectangle_java2.jpg,Java,medium,A,stage1,0.8633093525179856,0.8992805755395683,0.6402877697841727,0.2158273381294964,0.1223021582733813,56.739128048179644,0.1875
147,2,rectangle_java2.jpg,Java,medium,A,stage2,0.7714285714285715,0.8214285714285714,0.5214285714285715,0.2571428571428571,0.08571428571428572,64.15476155707574,0.20833333333333334
51,2,vehicle_java2.jpg,Java,medium,B,stage2,0.7555555555555555,0.8444444444444444,0.5555555555555556,0.24444444444444444,0.1111111111111111,58.21835254720368,0.10714285714285714
51,5,rectangle_java2.jpg,Java,medium,A,stage2,0.7945205479452054,0.821917808219178,0.547945205479452,0.2191780821917808,0.0547945205479452,52.340547235570675,0.1597222222222222
51,2,vehicle_java2.jpg,Java,medium,B,stage1,0.8,0.8444444444444444,0.5111111111111111,0.2,0.06666666666666667,54.48761408685038,0.125
51,5,rectangle_java2.jpg,Java,medium,A,stage1,0.9166666666666666,0.9444444444444444,0.7083333333333334,0.16666666666666666,0.125,49.502533576497044,0.1111111111111111
178,2,rectangle_java2.jpg,Java,high,A,stage1,0.7758620689655172,0.8189655172413793,0.5258620689655172,0.25862068965517243,0.08620689655172414,64.15044497851527,0.1736111111111111
178,2,rectangle_java2.jpg,Java,high,A,stage2,0.7931034482758621,0.8275862068965517,0.6206896551724138,0.20689655172413793,0.04310344827586207,82.00948318094132,0.18055555555555555
178,5,vehicle_java2.jpg,Java,high,B,stage1,0.775,0.8125,0.525,0.2625,0.0875,58.4485174346481,0.13392857142857142
178,5,vehicle_java2.jpg,Java,high,B,stage2,0.8125,0.9,0.6,0.1875,0.1,63.33778683183929,0.1875
140,2,vehicle_java2.jpg,Java,high,B,stage2,0.7927927927927928,0.8378378378378378,0.5225225225225225,0.2702702702702703,0.11711711711711711,62.397347143568894,0.21428571428571427
140,2,vehicle_java2.jpg,Java,high,B,stage1,0.7837837837837838,0.8378378378378378,0.5675675675675675,0.1981981981981982,0.04504504504504504,51.99930713589363,0.17857142857142858
140,5,rectangle_java2.jpg,Java,high,A,stage2,0.78125,0.796875,0.40625,0.34375,0.15625,72.33037474512125,0.1388888888888889
140,5,rectangle_java2.jpg,Java,high,A,stage1,0.828125,0.859375,0.5625,0.203125,0.078125,49.524188643107756,0.1527777777777778
56,5,rectangle_java2.jpg,Java,high,A,stage2,0.8309859154929577,0.8591549295774648,0.6056338028169014,0.2676056338028169,0.14084507042253522,68.34049612349034,0.1527777777777778
56,5,rectangle_java2.jpg,Java,high,A,stage1,0.8591549295774648,0.9154929577464789,0.7323943661971831,0.15492957746478872,0.08450704225352113,63.17423094013759,0.1597222222222222
56,2,vehicle_java2.jpg,Java,high,B,stage2,0.7123287671232876,0.8082191780821918,0.5616438356164384,0.2602739726027397,0.0821917808219178,98.41485601171985,0.16071428571428573
56,2,vehicle_java2.jpg,Java,high,B,stage1,0.8082191780821918,0.8493150684931506,0.5616438356164384,0.2465753424657534,0.1095890410958904,57.964167202137475,0.13392857142857142
69,2,rectangle_java2.jpg,Java,high,A,stage1,0.9084507042253521,0.9154929577464789,0.6549295774647887,0.20422535211267606,0.1267605633802817,66.91469135842937,0.22916666666666666
69,5,vehicle_java2.jpg,Java,high,B,stage1,0.8860759493670886,0.9240506329113924,0.6518987341772152,0.189873417721519,0.12025316455696203,71.82397439507234,0.25892857142857145
69,2,rectangle_java2.jpg,Java,high,A,stage2,0.7394366197183099,0.8098591549295775,0.4788732394366197,0.3380281690140845,0.15492957746478872,85.02768822486415,0.18055555555555555
69,5,vehicle_java2.jpg,Java,high,B,stage2,0.7848101265822784,0.8481012658227848,0.569620253164557,0.24050632911392406,0.0949367088607595,72.87735050352893,0.15178571428571427
176,2,rectangle_java2.jpg,Java,low,A,stage2,0.7896825396825397,0.8452380952380952,0.5873015873015873,0.24206349206349206,0.09126984126984126,65.21156457563073,0.2569444444444444
176,2,rectangle_java2.jpg,Java,low,A,stage1,0.8928571428571429,0.9087301587301587,0.6746031746031746,0.18253968253968253,0.09523809523809523,54.95889885063413,0.2777777777777778
176,5,vehicle_java2.jpg,Java,low,B,stage1,0.9068627450980392,0.9215686274509803,0.7352941176470589,0.12745098039215685,0.05392156862745098,53.27194124103458,0.2857142857142857
176,5,vehicle_java2.jpg,Java,low,B,stage2,0.8529411764705882,0.8872549019607843,0.6715686274509803,0.1568627450980392,0.049019607843137254,60.25078957469864,0.20535714285714285
60,5,rectangle_java2.jpg,Java,medium,A,stage1,0.890625,0.9140625,0.65625,0.2109375,0.1328125,65.25474573802973,0.22916666666666666
60,5,rectangle_java2.jpg,Java,medium,A,stage2,0.7734375,0.828125,0.53125,0.2734375,0.109375,75.69457193741486,0.19444444444444445
60,2,vehicle_java2.jpg,Java,medium,B,stage2,0.8431372549019608,0.9019607843137255,0.6993464052287581,0.17647058823529413,0.08496732026143791,80.8645940423559,0.24107142857142858
