Participant,Trial,code_file,Programming_Language,Expertise,Complexity,Stage,Vertical_Next_Text,Vertical_Later_Text,Horizontal_Later_Text,Regression_Rate,Line_Regression_Rate,Saccade_Length,Element_Coverage,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
147,5,vehicle_java2.jpg,Java,medium,B,stage1,0.7966101694915254,0.8305084745762712,0.4576271186440678,0.3050847457627119,0.1525423728813559,59.2923167726111,0.1517857142857142,-36,-36,1,-34,-34,1
147,5,vehicle_java2.jpg,Java,medium,B,stage2,0.864406779661017,0.8983050847457628,0.6779661016949152,0.1694915254237288,0.0847457627118644,64.64660511029955,0.0892857142857142,-28,-28,1,-32,-32,1
147,5,vehicle_java2.jpg,Java,medium,B,stage3,0.6610169491525424,0.8135593220338984,0.4576271186440678,0.3050847457627119,0.135593220338983,118.98380614491847,0.1785714285714285,-43,-43,1,-35,-35,1
147,2,rectangle_java2.jpg,Java,medium,A,stage1,0.8172043010752689,0.8709677419354839,0.5913978494623656,0.2150537634408602,0.0967741935483871,58.42851742474604,0.1597222222222222,-39,-39,1,-33,-33,1
147,2,rectangle_java2.jpg,Java,medium,A,stage2,0.8817204301075269,0.8817204301075269,0.6021505376344086,0.2580645161290322,0.1505376344086021,63.18300810110672,0.1388888888888889,-41,-41,1,-44,-44,1
147,2,rectangle_java2.jpg,Java,medium,A,stage3,0.7419354838709677,0.8172043010752689,0.5268817204301075,0.2473118279569892,0.075268817204301,59.96976020139624,0.1597222222222222,-52,-52,1,-52,-52,1
51,5,rectangle_java2.jpg,Java,medium,A,stage3,0.7755102040816326,0.8163265306122449,0.5510204081632653,0.2244897959183673,0.0612244897959183,53.88235081706486,0.125,-35,-35,1,-36,-36,1
51,2,vehicle_java2.jpg,Java,medium,B,stage3,0.6333333333333333,0.7666666666666667,0.4333333333333333,0.3,0.1,67.46157282357362,0.0982142857142857,-24,-24,1,-34,-34,1
51,2,vehicle_java2.jpg,Java,medium,B,stage2,0.8666666666666667,0.9333333333333332,0.6333333333333333,0.1333333333333333,0.1,46.83153535693789,0.0982142857142857,-11,-11,1,-9,-9,1
51,5,rectangle_java2.jpg,Java,medium,A,stage2,0.875,0.875,0.625,0.2083333333333333,0.1041666666666666,43.4621142879648,0.1111111111111111,-23,-23,1,-37,-37,1
51,2,vehicle_java2.jpg,Java,medium,B,stage1,0.8,0.8,0.5,0.2333333333333333,0.0666666666666666,53.66030902546476,0.0892857142857142,-32,-32,1,-28,-28,1
51,5,rectangle_java2.jpg,Java,medium,A,stage1,0.8958333333333334,0.9375,0.6875,0.1458333333333333,0.1041666666666666,55.6325474216526,0.1041666666666666,-5,-5,1,-15,-15,1
178,2,rectangle_java2.jpg,Java,high,A,stage1,0.7792207792207793,0.8181818181818182,0.5064935064935064,0.2727272727272727,0.1038961038961039,62.95376786136234,0.1319444444444444,-24,-24,1,-21,-21,1
178,2,rectangle_java2.jpg,Java,high,A,stage3,0.8205128205128205,0.8589743589743589,0.6794871794871795,0.1666666666666666,0.0384615384615384,78.572608071542,0.1180555555555555,-35,-35,1,-42,-42,1
178,2,rectangle_java2.jpg,Java,high,A,stage2,0.7402597402597403,0.7792207792207793,0.5324675324675324,0.2597402597402597,0.0519480519480519,77.3176219879987,0.1458333333333333,-46,-43,2,-35,-35,1
178,5,vehicle_java2.jpg,Java,high,B,stage1,0.7735849056603774,0.8113207547169812,0.4716981132075472,0.2830188679245283,0.1132075471698113,49.72115727834852,0.1071428571428571,-51,-51,1,-49,-49,1
