Participant,Trial,code_file,Programming_Language,Expertise,Complexity,Stage,Vertical_Next_Text,Vertical_Later_Text,Horizontal_Later_Text,Regression_Rate,Line_Regression_Rate,Saccade_Length,Element_Coverage
147,5,vehicle_java2.jpg,Java,medium,B,stage1,0.7966101694915254,0.8305084745762712,0.4576271186440678,0.3050847457627119,0.15254237288135594,59.2923167726111,0.15178571428571427
147,5,vehicle_java2.jpg,Java,medium,B,stage2,0.864406779661017,0.8983050847457628,0.6779661016949152,0.1694915254237288,0.0847457627118644,64.64660511029955,0.08928571428571429
147,5,vehicle_java2.jpg,Java,medium,B,stage3,0.6610169491525424,0.8135593220338984,0.4576271186440678,0.3050847457627119,0.13559322033898305,118.98380614491849,0.17857142857142858
147,2,rectangle_java2.jpg,Java,medium,A,stage1,0.8172043010752689,0.8709677419354839,0.5913978494623656,0.21505376344086022,0.0967741935483871,58.42851742474604,0.1597222222222222
147,2,rectangle_java2.jpg,Java,medium,A,stage2,0.8817204301075269,0.8817204301075269,0.6021505376344086,0.25806451612903225,0.15053763440860216,63.18300810110672,0.1388888888888889
147,2,rectangle_java2.jpg,Java,medium,A,stage3,0.7419354838709677,0.8172043010752689,0.5268817204301075,0.24731182795698925,0.07526881720430108,59.969760201396234,0.1597222222222222
51,5,rectangle_java2.jpg,Java,medium,A,stage3,0.7755102040816326,0.8163265306122449,0.5510204081632653,0.22448979591836735,0.061224489795918366,53.88235081706486,0.125
51,2,vehicle_java2.jpg,Java,medium,B,stage3,0.6333333333333333,0.7666666666666667,0.43333333333333335,0.3,0.1,67.46157282357362,0.09821428571428571
51,2,vehicle_java2.jpg,Java,medium,B,stage2,0.8666666666666667,0.9333333333333333,0.6333333333333333,0.13333333333333333,0.1,46.831535356937884,0.09821428571428571
51,5,rectangle_java2.jpg,Java,medium,A,stage2,0.875,0.875,0.625,0.20833333333333334,0.10416666666666667,43.4621142879648,0.1111111111111111
51,2,vehicle_java2.jpg,Java,medium,B,stage1,0.8,0.8,0.5,0.23333333333333334,0.06666666666666667,53.66030902546476,0.08928571428571429
51,5,rectangle_java2.jpg,Java,medium,A,stage1,0.8958333333333334,0.9375,0.6875,0.14583333333333334,0.10416666666666667,55.632547421652596,0.10416666666666667
178,2,rectangle_java2.jpg,Java,high,A,stage1,0.7792207792207793,0.8181818181818182,0.5064935064935064,0.2727272727272727,0.1038961038961039,62.95376786136234,0.13194444444444445
178,2,rectangle_java2.jpg,Java,high,A,stage3,0.8205128205128205,0.8589743589743589,0.6794871794871795,0.16666666666666666,0.038461538461538464,78.572608071542,0.11805555555555555
178,2,rectangle_java2.jpg,Java,high,A,stage2,0.7402597402597403,0.7792207792207793,0.5324675324675324,0.2597402597402597,0.05194805194805195,77.3176219879987,0.14583333333333334
178,5,vehicle_java2.jpg,Java,high,B,stage1,0.7735849056603774,0.8113207547169812,0.4716981132075472,0.2830188679245283,0.11320754716981132,49.72115727834852,0.10714285714285714
178,5,vehicle_java2.jpg,Java,high,B,stage3,0.7777777777777778,0.8518518518518519,0.5370370370370371,0.24074074074074073,0.1111111111111111,71.13776946773199,0.14285714285714285
178,5,vehicle_java2.jpg,Java,high,B,stage2,0.8301886792452831,0.9056603773584906,0.6792452830188679,0.11320754716981132,0.03773584905660377,62.401449739977394,0.15178571428571427
140,2,vehicle_java2.jpg,Java,high,B,stage2,0.7567567567567568,0.8108108108108109,0.4864864864864865,0.24324324324324326,0.06756756756756757,50.556251125125044,0.10714285714285714
140,2,vehicle_java2.jpg,Java,high,B,stage3,0.7972972972972973,0.8513513513513513,0.5405405405405406,0.2702702702702703,0.13513513513513514,69.54843008009867,0.1875
140,2,vehicle_java2.jpg,Java,high,B,stage1,0.7972972972972973,0.8378378378378378,0.5945945945945946,0.1891891891891892,0.04054054054054054,51.90247838818308,0.16964285714285715
140,5,rectangle_java2.jpg,Java,high,A,stage2,0.8333333333333334,0.8333333333333334,0.47619047619047616,0.2857142857142857,0.14285714285714285,70.02334821977287,0.13194444444444445
140,5,rectangle_java2.jpg,Java,high,A,stage3,0.7272727272727273,0.75,0.38636363636363635,0.3409090909090909,0.11363636363636363,68.50504252124968,0.09722222222222222
140,5,rectangle_java2.jpg,Java,high,A,stage1,0.8333333333333334,0.8809523809523809,0.5714285714285714,0.19047619047619047,0.09523809523809523,46.210904066129864,0.09722222222222222
56,5,rectangle_java2.jpg,Java,high,A,stage2,0.851063829787234,0.8723404255319149,0.6382978723404256,0.2127659574468085,0.10638297872340426,79.40394649107876,0.10416666666666667
