Participant,Trial,code_file,Programming_Language,Expertise,Complexity,Stage,Vertical_Next_Text,Vertical_Later_Text,Horizontal_Later_Text,Regression_Rate,Line_Regression_Rate,Saccade_Length,Element_Coverage,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
147,5,vehicle_java2.jpg,Java,medium,B,stage1,0.8181818181818182,0.8522727272727273,0.5227272727272727,0.2727272727272727,0.1363636363636363,60.9047857907318,0.1875,-25,-25,1,-26,-26,1
147,5,vehicle_java2.jpg,Java,medium,B,stage2,0.7415730337078652,0.8539325842696629,0.5393258426966292,0.2584269662921348,0.1235955056179775,104.08103259521684,0.1785714285714285,-46,-46,1,-47,-47,1
147,2,rectangle_java2.jpg,Java,medium,A,stage1,0.8633093525179856,0.8992805755395683,0.6402877697841727,0.2158273381294964,0.1223021582733813,56.73912804817965,0.1875,-41,-41,1,-40,-40,1
147,2,rectangle_java2.jpg,Java,medium,A,stage2,0.7714285714285715,0.8214285714285714,0.5214285714285715,0.2571428571428571,0.0857142857142857,64.15476155707574,0.2083333333333333,-88,-76,2,-83,-83,1
51,2,vehicle_java2.jpg,Java,medium,B,stage2,0.7555555555555555,0.8444444444444444,0.5555555555555556,0.2444444444444444,0.1111111111111111,58.21835254720368,0.1071428571428571,-25,-25,1,-35,-35,1
51,5,rectangle_java2.jpg,Java,medium,A,stage2,0.7945205479452054,0.821917808219178,0.547945205479452,0.2191780821917808,0.0547945205479452,52.34054723557068,0.1597222222222222,-35,-35,1,-52,-52,1
51,2,vehicle_java2.jpg,Java,medium,B,stage1,0.8,0.8444444444444444,0.5111111111111111,0.2,0.0666666666666666,54.48761408685038,0.125,-19,-19,1,-15,-15,1
51,5,rectangle_java2.jpg,Java,medium,A,stage1,0.9166666666666666,0.9444444444444444,0.7083333333333334,0.1666666666666666,0.125,49.50253357649704,0.1111111111111111,-2,-2,1,-11,-11,1
178,2,rectangle_java2.jpg,Java,high,A,stage1,0.7758620689655172,0.8189655172413793,0.5258620689655172,0.2586206896551724,0.0862068965517241,64.15044497851527,0.1736111111111111,-39,-39,1,-33,-33,1
178,2,rectangle_java2.jpg,Java,high,A,stage2,0.7931034482758621,0.8275862068965517,0.6206896551724138,0.2068965517241379,0.043103448275862,82.00948318094132,0.1805555555555555,-36,-36,1,-50,-50,1
178,5,vehicle_java2.jpg,Java,high,B,stage1,0.775,0.8125,0.525,0.2625,0.0875,58.4485174346481,0.1339285714285714,-62,-62,1,-58,-58,1
178,5,vehicle_java2.jpg,Java,high,B,stage2,0.8125,0.9,0.6,0.1875,0.1,63.33778683183929,0.1875,-14,-14,1,-39,-39,1
140,2,vehicle_java2.jpg,Java,high,B,stage2,0.7927927927927928,0.8378378378378378,0.5225225225225225,0.2702702702702703,0.1171171171171171,62.397347143568894,0.2142857142857142,-41,-41,1,-66,-66,1
140,2,vehicle_java2.jpg,Java,high,B,stage1,0.7837837837837838,0.8378378378378378,0.5675675675675675,0.1981981981981982,0.045045045045045,51.99930713589363,0.1785714285714285,-48,-48,1,-47,-47,1
140,5,rectangle_java2.jpg,Java,high,A,stage2,0.78125,0.796875,0.40625,0.34375,0.15625,72.33037474512125,0.1388888888888889,-50,-50,1,-47,-47,1
