Participant,Trial,code_file,Programming_Language,Expertise,Comprehension_Result,Complexity,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
215,2,vehicle_java2.jpg,Java,medium,1,B,-110,-82,3,-121,-98,3
106,2,vehicle_java2.jpg,Java,medium,0,B,-94,-71,2,-104,-89,2
10,5,vehicle_java.jpg,Java,medium,0,B,-15,-15,1,-37,-37,1
139,5,vehicle_java2.jpg,Java,low,0,B,-2,-2,1,-10,-10,1
101,2,rectangle_java2.jpg,Java,medium,0,A,-57,-11,2,-59,-59,1
101,5,vehicle_java2.jpg,Java,medium,1,B,-338,-207,6,-343,-245,7
17,2,rectangle_java2.jpg,Java,medium,1,A,-78,-78,1,-89,-89,1
17,5,vehicle_java2.jpg,Java,medium,0,B,-117,-78,2,-133,-89,3
28,2,rectangle_java2.jpg,Java,medium,1,A,-62,-38,3,-65,-63,2
28,5,vehicle_java2.jpg,Java,medium,0,B,11,11,1,-6,-6,1
21,5,vehicle_java2.jpg,Java,low,0,B,-148,-89,2,-159,-126,2
21,2,rectangle_java2.jpg,Java,low,1,A,-96,-37,2,-77,-64,2
108,5,rectangle_java2.jpg,Java,high,1,A,-50,-40,2,-53,-53,1
108,2,vehicle_java2.jpg,Java,high,0,B,-20,-20,1,-38,-38,1
26,2,vehicle_java2.jpg,Java,high,1,B,-56,-47,2,-77,-56,2
19,5,vehicle_java.jpg,Java,medium,1,B,-13,-1,2,-29,-12,2
72,2,vehicle_java2.jpg,Java,medium,0,B,-184,-135,4,-188,-165,2
164,2,vehicle_java2.jpg,Java,low,0,B,-98,-98,1,-121,-114,2
164,5,rectangle_java2.jpg,Java,low,1,A,-102,-92,3,-109,-98,2
86,5,vehicle_java2.jpg,Java,medium,0,B,-66,-54,3,-83,-62,2
86,2,rectangle_java2.jpg,Java,medium,1,A,-173,-85,4,-147,-126,3
190,2,vehicle_java2.jpg,Java,medium,0,B,19,19,1,-3,-3,1
81,5,rectangle_java.jpg,Java,medium,1,A,-21,-21,1,-45,-45,1
81,2,vehicle_java.jpg,Java,medium,0,B,-52,-33,3,-74,-45,3
197,2,vehicle_java.jpg,Java,medium,0,B,-63,-62,2,-85,-85,1
75,2,vehicle_java.jpg,Java,medium,0,B,-113,-71,3,-117,-93,3
75,5,rectangle_java.jpg,Java,medium,1,A,-80,-43,3,-85,-68,3
163,2,vehicle_java.jpg,Java,low,0,B,-34,-34,1,-55,-55,1
163,5,rectangle_java.jpg,Java,low,1,A,-38,-38,1,-62,-57,2
88,2,rectangle_java2.jpg,Java,high,1,A,-18,-18,1,-39,-39,1
