Participant,Trial,code_file,Programming_Language,Expertise,Comprehension_Result,Complexity,Vertical_Next_Text,Vertical_Later_Text,Horizontal_Later_Text,Regression_Rate,Line_Regression_Rate,Saccade_Length,Element_Coverage
147,5,vehicle_java2.jpg,Java,medium,0,B,0.7853107344632768,0.8587570621468926,0.536723163841808,0.2655367231638418,0.12994350282485875,82.20061424568146,0.29464285714285715
147,2,rectangle_java2.jpg,Java,medium,1,A,0.8207885304659498,0.8637992831541219,0.5806451612903226,0.24014336917562723,0.10752688172043011,60.32946528498725,0.2847222222222222
51,5,rectangle_java2.jpg,Java,medium,0,A,0.8620689655172413,0.8896551724137931,0.6344827586206897,0.19310344827586207,0.0896551724137931,50.599162342539245,0.22916666666666666
51,2,vehicle_java2.jpg,Java,medium,0,B,0.7888888888888889,0.8555555555555555,0.5444444444444444,0.2222222222222222,0.08888888888888889,55.92242270911324,0.1875
178,5,vehicle_java2.jpg,Java,high,0,B,0.8,0.8625,0.5625,0.225,0.09375,60.80298787732565,0.25
178,2,rectangle_java2.jpg,Java,high,1,A,0.7887931034482759,0.8275862068965517,0.5732758620689655,0.23275862068965517,0.06465517241379311,72.94170022591499,0.2638888888888889
140,2,vehicle_java2.jpg,Java,high,0,B,0.7927927927927928,0.8423423423423423,0.5495495495495496,0.23423423423423423,0.08108108108108109,56.939511179823015,0.29464285714285715
140,5,rectangle_java2.jpg,Java,high,0,A,0.8125,0.8359375,0.4921875,0.2734375,0.1171875,60.85434177534512,0.22916666666666666
56,5,rectangle_java2.jpg,Java,high,1,A,0.852112676056338,0.8943661971830986,0.676056338028169,0.2112676056338028,0.11267605633802817,65.32449523042997,0.2361111111111111
56,2,vehicle_java2.jpg,Java,high,1,B,0.7602739726027398,0.8287671232876712,0.5616438356164384,0.2602739726027397,0.0958904109589041,78.41650233663492,0.22321428571428573
69,2,rectangle_java2.jpg,Java,high,0,A,0.8274647887323944,0.8661971830985915,0.5704225352112676,0.2711267605633803,0.14084507042253522,75.70873216560265,0.2708333333333333
69,5,vehicle_java2.jpg,Java,high,0,B,0.8386075949367089,0.8892405063291139,0.6139240506329114,0.21518987341772153,0.10759493670886076,72.12097780660453,0.25892857142857145
176,5,vehicle_java2.jpg,Java,low,0,B,0.8823529411764706,0.9068627450980392,0.7058823529411765,0.14215686274509803,0.051470588235294115,56.64701202977138,0.30357142857142855
176,2,rectangle_java2.jpg,Java,low,1,A,0.8432539682539683,0.878968253968254,0.6329365079365079,0.2123015873015873,0.09325396825396826,60.00086941480985,0.2916666666666667
60,5,rectangle_java2.jpg,Java,medium,1,A,0.8359375,0.875,0.59765625,0.2421875,0.12109375,70.30585601285483,0.2777777777777778
60,2,vehicle_java2.jpg,Java,medium,0,B,0.8431372549019608,0.8986928104575164,0.7091503267973857,0.16993464052287582,0.0718954248366013,68.42278670685013,0.3392857142857143
182,2,vehicle_java2.jpg,Java,medium,0,B,0.7475,0.835,0.5575,0.275,0.1125,90.1525923705296,0.33035714285714285
182,5,rectangle_java2.jpg,Java,medium,1,A,0.8285714285714286,0.8857142857142857,0.5857142857142857,0.2785714285714286,0.16785714285714284,79.91255014840165,0.2777777777777778
94,5,vehicle_java2.jpg,Java,medium,0,B,0.8161764705882353,0.8970588235294118,0.6764705882352942,0.14705882352941177,0.051470588235294115,66.69063997124668,0.20535714285714285
94,2,rectangle_java2.jpg,Java,medium,0,A,0.8076923076923077,0.8769230769230769,0.6692307692307692,0.17692307692307693,0.06153846153846154,60.78045467152961,0.19444444444444445
