Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity,stage
50053,2,15,rectangle_java.jpg,rectangle_java.jpg,15495022515,92,661.9408696,180.8756522,616,173,55,19,class,5,class,65,1,2,A,stage1
50054,2,15,rectangle_java.jpg,rectangle_java.jpg,15495090499,64,663.49125,186.72,616,173,55,19,class,5,class,65,1,2,A,stage1
50055,2,15,rectangle_java.jpg,rectangle_java.jpg,15495254495,112,745.7671429,182.7275,682,173,102,19,Rectangle,9,class->name,65,1,3,A,stage1
50056,2,15,rectangle_java.jpg,rectangle_java.jpg,15496042384,84,672.0480952,522.9685714,616,511,69,19,public,6,class->block->function->type->specifier,65,9,1,A,stage1
50057,2,15,rectangle_java.jpg,rectangle_java.jpg,15496314001,92,754.4578261,545.2052173999999,740,553,68,19,height,6,class->block->function->name,65,10,3,A,stage1
50058,2,15,rectangle_java.jpg,rectangle_java.jpg,15496558367,140,732.072,552.9897143,740,553,68,19,height,6,class->block->function->name,65,10,3,A,stage1
50059,2,15,rectangle_java.jpg,rectangle_java.jpg,15496766369,96,675.9475,590.9045833,616,595,69,19,public,6,class->block->function->type->specifier,65,11,1,A,stage1
50060,2,15,rectangle_java.jpg,rectangle_java.jpg,15496854412,60,743.9686667000001,589.5773333,695,595,68,19,double,6,class->block->function->type->name,65,11,2,A,stage1
50061,2,15,rectangle_java.jpg,rectangle_java.jpg,15496922438,64,746.323125,569.948125,740,553,68,19,height,6,class->block->function->name,65,10,3,A,stage1
50062,2,15,rectangle_java.jpg,rectangle_java.jpg,15497066383,140,739.6748571,569.6262857,740,553,68,19,height,6,class->block->function->name,65,10,3,A,stage1
50063,2,15,rectangle_java.jpg,rectangle_java.jpg,15497206386,112,771.6089286,612.1614286,774,595,45,19,area,4,class->block->function->name,65,11,3,A,stage1
50064,2,15,rectangle_java.jpg,rectangle_java.jpg,15497442246,120,745.075,631.5253332999999,696,636,67,21,static,6,class->block->function->type->specifier,65,12,2,A,stage1
50065,2,15,rectangle_java.jpg,rectangle_java.jpg,15497550145,104,741.7438462,623.8865385,696,636,67,21,static,6,class->block->function->type->specifier,65,12,2,A,stage1
50066,2,15,rectangle_java.jpg,rectangle_java.jpg,15497858486,136,675.4294118,679.2852941000001,676,681,102,18,Rectangle,9,class->block->function->block->block_content->decl_stmt->decl->type->name,65,13,1,A,stage1
50067,2,15,rectangle_java.jpg,rectangle_java.jpg,15498030430,76,792.2494737000001,672.7484211,789,681,56,18,rect1,5,class->block->function->block->block_content->decl_stmt->decl->name,65,13,2,A,stage1
50068,2,15,rectangle_java.jpg,rectangle_java.jpg,15498278245,116,865.0434482999999,681.6986207,856,681,13,18,=,1,class->block->function->block->block_content->decl_stmt->decl->init,65,13,3,A,stage1
50069,2,15,rectangle_java.jpg,rectangle_java.jpg,15498370335,80,762.488,720.671,677,722,202,19,System.out.println,18,class->block->function->block->block_content->expr_stmt->expr->call->name->name->operator->name->operator->name,65,14,1,A,stage1
50070,2,15,rectangle_java.jpg,rectangle_java.jpg,15498546525,120,752.3556667,732.7883333,677,722,202,19,System.out.println,18,class->block->function->block->block_content->expr_stmt->expr->call->name->name->operator->name->operator->name,65,14,1,A,stage1
50071,2,15,rectangle_java.jpg,rectangle_java.jpg,15498606458,56,755.8757142999999,722.7307142999999,677,722,202,19,System.out.println,18,class->block->function->block->block_content->expr_stmt->expr->call->name->name->operator->name->operator->name,65,14,1,A,stage1
50072,2,15,rectangle_java.jpg,rectangle_java.jpg,15499454161,84,706.3352381,274.7252381,695,257,101,19,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
50073,2,15,rectangle_java.jpg,rectangle_java.jpg,15499546178,88,700.5222727000001,273.7695455,695,257,101,19,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
50074,2,15,rectangle_java.jpg,rectangle_java.jpg,15499650162,100,702.5392,266.4168,695,257,101,19,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
50075,2,15,rectangle_java.jpg,rectangle_java.jpg,15500086021,204,676.9441176,166.9807843,682,173,102,19,Rectangle,9,class->name,65,1,3,A,stage1
50076,2,15,rectangle_java.jpg,rectangle_java.jpg,15500277734,156,727.4766667,179.3005128,682,173,102,19,Rectangle,9,class->name,65,1,3,A,stage1
50077,2,15,rectangle_java.jpg,rectangle_java.jpg,15500417785,136,723.0252941000001,204.7185294,707,215,33,19,int,3,class->block->decl_stmt->decl->type->name,65,2,2,A,stage1
50078,2,15,rectangle_java.jpg,rectangle_java.jpg,15500577999,100,738.8772,176.8184,682,173,102,19,Rectangle,9,class->name,65,1,3,A,stage1
50079,2,15,rectangle_java.jpg,rectangle_java.jpg,15501417984,92,654.45,221.0513043,616,215,80,19,private,7,class->block->decl_stmt->decl->type->specifier,65,2,1,A,stage1
50080,2,15,rectangle_java.jpg,rectangle_java.jpg,15501521986,100,662.0592,220.6908,616,215,80,19,private,7,class->block->decl_stmt->decl->type->specifier,65,2,1,A,stage1
50081,2,15,rectangle_java.jpg,rectangle_java.jpg,15501702012,128,721.91125,225.071875,707,215,33,19,int,3,class->block->decl_stmt->decl->type->name,65,2,2,A,stage1
50082,2,15,rectangle_java.jpg,rectangle_java.jpg,15501886006,128,837.7084375,227.9603125,842,215,7,19,",",1,class->block->decl_stmt,65,2,6,A,stage1
50083,2,15,rectangle_java.jpg,rectangle_java.jpg,15502241773,56,886.0521428999999,246.2985714,874,257,23,19,x1,2,class->block->constructor->parameter_list->parameter->decl->type->name,65,3,5,A,stage1
50084,2,15,rectangle_java.jpg,rectangle_java.jpg,15502441844,120,952.5736667,253.5343333,931,257,33,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,65,3,7,A,stage1
50085,2,15,rectangle_java.jpg,rectangle_java.jpg,15502529831,84,951.2742857,255.7661905,931,257,33,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,65,3,7,A,stage1
50086,2,15,rectangle_java.jpg,rectangle_java.jpg,15502777873,160,1062.61625,246.0255,1032,257,33,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,65,3,10,A,stage1
50087,2,15,rectangle_java.jpg,rectangle_java.jpg,15502869872,88,1054.5413640000002,254.4559091,1032,257,33,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,65,3,10,A,stage1
50088,2,15,rectangle_java.jpg,rectangle_java.jpg,15502981879,64,1049.423125,257.023125,1032,257,33,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,65,3,10,A,stage1
50089,2,15,rectangle_java.jpg,rectangle_java.jpg,15503177919,68,1042.545882,268.2694118,1032,257,33,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,65,3,10,A,stage1
50090,2,15,rectangle_java.jpg,rectangle_java.jpg,15503265903,72,1140.260556,249.0711111,1132,257,34,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,65,3,13,A,stage1
50091,2,15,rectangle_java.jpg,rectangle_java.jpg,15503357888,88,1138.381818,259.7259091,1132,257,34,19,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,65,3,13,A,stage1
50092,2,15,rectangle_java.jpg,rectangle_java.jpg,15503453837,60,743.1053333,262.338,695,257,101,19,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
50093,2,15,rectangle_java.jpg,rectangle_java.jpg,15503725630,128,709.3296875,271.680625,695,257,101,19,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
50094,2,15,rectangle_java.jpg,rectangle_java.jpg,15503785661,56,706.6507142999999,269.28214289999994,695,257,101,19,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
50095,2,15,rectangle_java.jpg,rectangle_java.jpg,15503945746,64,743.14,260.850625,695,257,101,19,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
50096,2,15,rectangle_java.jpg,rectangle_java.jpg,15504121894,56,773.3185714,265.8264286,695,257,101,19,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
50097,2,15,rectangle_java.jpg,rectangle_java.jpg,15504281779,80,783.023,271.7395,695,257,101,19,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
50098,2,15,rectangle_java.jpg,rectangle_java.jpg,15504341745,56,783.8507142999999,270.05785710000004,695,257,101,19,Rectangle,9,class->block->constructor->name,65,3,2,A,stage1
50099,2,15,rectangle_java.jpg,rectangle_java.jpg,15504513738,92,734.6895652000001,289.71478260000004,677,299,78,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,65,4,1,A,stage1
50100,2,15,rectangle_java.jpg,rectangle_java.jpg,15505201544,60,744.2453333,337.5706667,677,342,78,19,this.y1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,65,5,1,A,stage1
50101,2,15,rectangle_java.jpg,rectangle_java.jpg,15505329447,124,781.6996774,336.2054839,789,342,22,19,y1,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,65,5,3,A,stage1
50102,2,15,rectangle_java.jpg,rectangle_java.jpg,15505393490,60,785.2253333,336.3733333,789,342,22,19,y1,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,65,5,3,A,stage1
