Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity,stage
23855,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1081189777,104,853.4630768999999,310.0488462,856,297,28,16,int,3,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,4,A,stage1
23856,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1081449782,136,716.8832352999999,229.2570588,717,225,87,15,Rectangle,9,class->name,70,1,3,A,stage1
23857,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1081641731,148,640.8140541,227.7597297,592,225,58,15,public,6,class->specifier,70,1,1,A,stage1
23858,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1081769678,124,623.2370967999999,228.5125806,592,225,58,15,public,6,class->specifier,70,1,1,A,stage1
23859,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1081849663,76,623.1110526000001,229.6336842,592,225,58,15,public,6,class->specifier,70,1,1,A,stage1
23860,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1082017687,84,688.762381,227.4104762,660,225,47,15,class,5,class,70,1,2,A,stage1
23861,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1082145713,124,686.8622581000001,223.7319355,660,225,47,15,class,5,class,70,1,2,A,stage1
23862,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1082221800,72,698.335,229.1544444,660,225,47,15,class,5,class,70,1,2,A,stage1
23863,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1082409860,136,724.1611765,225.7279412,717,225,87,15,Rectangle,9,class->name,70,1,3,A,stage1
23864,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1082485794,72,751.0955556,226.4422222,717,225,87,15,Rectangle,9,class->name,70,1,3,A,stage1
23865,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1082785596,68,736.0082352999999,234.1005882,717,225,87,15,Rectangle,9,class->name,70,1,3,A,stage1
23866,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1082977600,108,767.64,214.2877778,717,225,87,15,Rectangle,9,class->name,70,1,3,A,stage1
23867,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1083073613,92,764.6069565,212.9973913,717,225,87,15,Rectangle,9,class->name,70,1,3,A,stage1
23868,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1083261551,96,763.6908333,231.2175,717,225,87,15,Rectangle,9,class->name,70,1,3,A,stage1
23869,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1083493462,64,768.49,251.146875,751,262,27,16,int,3,class->block->decl_stmt->decl->type->name,70,2,2,A,stage1
23870,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1083705706,136,836.5532352999999,253.77352940000003,836,262,18,16,y1,2,class->block->decl_stmt->decl->name,70,2,5,A,stage1
23871,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1083921664,100,858.2792,263.326,866,262,5,16,",",1,class->block->decl_stmt,70,2,6,A,stage1
23872,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1084069536,56,713.65,275.7107143,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,70,2,1,A,stage1
23873,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1084361560,176,704.2729545,263.7334091,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,70,2,1,A,stage1
23874,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1084545551,180,699.3591111000001,258.9768889,672,262,68,16,private,7,class->block->decl_stmt->decl->type->specifier,70,2,1,A,stage1
23875,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1084813482,240,751.5173333,265.9548333,751,262,27,16,int,3,class->block->decl_stmt->decl->type->name,70,2,2,A,stage1
23876,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1085121321,112,809.1203571000001,257.8278571,818,262,5,16,",",1,class->block->decl_stmt,70,2,4,A,stage1
23877,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1085253441,96,791.555,250.9245833,788,262,18,16,x1,2,class->block->decl_stmt->decl->name,70,2,3,A,stage1
23878,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1085325442,68,794.6523529,275.1682353,788,262,18,16,x1,2,class->block->decl_stmt->decl->name,70,2,3,A,stage1
23879,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1085749402,164,840.0607317,274.13219510000005,836,262,18,16,y1,2,class->block->decl_stmt->decl->name,70,2,5,A,stage1
23880,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1085929410,88,871.5504545,255.0863636,884,262,18,16,x2,2,class->block->decl_stmt->decl->name,70,2,7,A,stage1
23881,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1085989418,56,881.0042857000001,264.2571429,884,262,18,16,x2,2,class->block->decl_stmt->decl->name,70,2,7,A,stage1
23882,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1086069410,76,897.0110526000001,259.7478947,884,262,18,16,x2,2,class->block->decl_stmt->decl->name,70,2,7,A,stage1
23883,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1086157380,84,888.5304762000001,268.3447619,884,262,18,16,x2,2,class->block->decl_stmt->decl->name,70,2,7,A,stage1
23884,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1086245355,84,899.8409524,276.3490476,884,262,18,16,x2,2,class->block->decl_stmt->decl->name,70,2,7,A,stage1
23885,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1086441370,88,895.5995455,256.9731818,884,262,18,16,x2,2,class->block->decl_stmt->decl->name,70,2,7,A,stage1
23886,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1086529333,84,898.16,259.5652381,884,262,18,16,x2,2,class->block->decl_stmt->decl->name,70,2,7,A,stage1
23887,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1086593305,60,895.4053332999998,261.4346667,884,262,18,16,x2,2,class->block->decl_stmt->decl->name,70,2,7,A,stage1
23888,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1086653336,56,895.405,270.1592857,884,262,18,16,x2,2,class->block->decl_stmt->decl->name,70,2,7,A,stage1
23889,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1086741602,84,895.1980952,257.1619048,884,262,18,16,x2,2,class->block->decl_stmt->decl->name,70,2,7,A,stage1
23890,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1086845869,64,931.891875,258.54625,932,262,18,16,y2,2,class->block->decl_stmt->decl->name,70,2,9,A,stage1
23891,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1087225268,180,948.0568889,275.7608889,932,262,18,16,y2,2,class->block->decl_stmt->decl->name,70,2,9,A,stage1
23892,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1087613311,144,742.8319444,303.135,740,297,86,16,Rectangle,9,class->block->constructor->name,70,3,2,A,stage1
23893,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1087749278,112,689.595,307.7042857,672,297,58,16,public,6,class->block->constructor->specifier,70,3,1,A,stage1
23894,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1087813275,60,690.6753332999999,311.1566667,672,297,58,16,public,6,class->block->constructor->specifier,70,3,1,A,stage1
23895,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1087881225,64,677.5625,309.44875,672,297,58,16,public,6,class->block->constructor->specifier,70,3,1,A,stage1
23896,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1088052964,60,740.1926667,311.5633333,740,297,86,16,Rectangle,9,class->block->constructor->name,70,3,2,A,stage1
23897,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1088357119,168,761.0157142999999,303.34833330000004,740,297,86,16,Rectangle,9,class->block->constructor->name,70,3,2,A,stage1
23898,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1088497174,136,768.4161765,312.3452941,740,297,86,16,Rectangle,9,class->block->constructor->name,70,3,2,A,stage1
23899,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1089301115,56,890.31,308.15285710000006,894,297,18,16,x1,2,class->block->constructor->parameter_list->parameter->decl->type->name,70,3,5,A,stage1
23900,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1090929007,308,799.1690909,360.5446753,809,370,10,15,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,70,5,2,A,stage1
23901,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1091092986,108,818.0318519,439.4807407,809,441,10,22,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,70,7,2,A,stage1
23902,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1091092986,108,818.0318519,439.4807407,829,441,18,22,y2,2,class->block->constructor->block->block_content->expr_stmt->expr->name->name,70,7,3,A,stage1
23903,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1091188930,92,816.2043477999999,443.3604348,809,441,10,22,=,1,class->block->constructor->block->block_content->expr_stmt->expr->operator,70,7,2,A,stage1
23904,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1091292882,60,775.2093332999999,457.818,734,441,65,22,this.y2,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,70,7,1,A,stage1
23905,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1091372873,76,771.4821053,461.1189474,734,441,65,22,this.y2,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,70,7,1,A,stage1
23906,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1092024886,64,836.004375,520.296875,839,515,5,15,(,1,class->block->function->parameter_list,70,9,4,A,stage1
23907,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1092528897,76,705.5031579,564.9473684,672,552,58,16,public,6,class->block->function->type->specifier,70,10,1,A,stage1
23908,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1093364715,68,747.16,562.1805882,741,552,27,16,int,3,class->block->function->type->name,70,10,2,A,stage1
23909,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1093976779,64,800.200625,579.310625,807,588,39,20,area,4,class->block->function->name,70,11,3,A,stage1
23910,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1094380468,68,805.8223529,514.2923529,778,515,49,15,width,5,class->block->function->name,70,9,3,A,stage1
23911,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1094488468,60,783.0726667,517.8806666999999,778,515,49,15,width,5,class->block->function->name,70,9,3,A,stage1
23912,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1094636591,68,796.1211764999999,543.4323529,778,552,58,16,height,6,class->block->function->name,70,10,3,A,stage1
23913,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1094800619,88,835.3809091,564.3936364,778,552,58,16,height,6,class->block->function->name,70,10,3,A,stage1
23914,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1095088614,64,926.326875,600.25,913,588,58,20,return,6,class->block->function->block->block_content->return,70,11,7,A,stage1
23915,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1095256598,80,922.538,583.965,913,588,58,20,return,6,class->block->function->block->block_content->return,70,11,7,A,stage1
23916,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1095456593,56,958.8985714,597.24,913,588,58,20,return,6,class->block->function->block->block_content->return,70,11,7,A,stage1
23917,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1095916543,280,997.077,595.3908571000001,982,588,94,20,this.width,10,class->block->function->block->block_content->return->expr->call->name->name->operator->name,70,11,8,A,stage1
23918,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1096056472,84,1020.664286,603.1561905,982,588,94,20,this.width,10,class->block->function->block->block_content->return->expr->call->name->name->operator->name,70,11,8,A,stage1
23919,2,68,rectangle_java2.jpg,rectangle_java2.jpg,1096140479,80,1023.949,589.495,982,588,94,20,this.width,10,class->block->function->block->block_content->return->expr->call->name->name->operator->name,70,11,8,A,stage1
